Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_Of_Engines,Engine_Type,Far_Description,Schedule,Purpose_Of_Flight,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Report_Status,Publication_Date,Total_Passengers,Fatal_Injury_Proportion,Uninjured_Proportion
20020917X02242,Accident,LAX82DVA10,1982-01-06,"NEAR BAKERSFIEL, CA",United States,,,,,Non-Fatal,Substantial,Airplane,N59737,Boeing,A75,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,1.0,0.0,1.0,IMC,Cruise,Probable Cause,06-01-1983,2.0,0.0,0.5
20020917X01765,Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,,,CKB,BENEDUM,Incident,Minor,Airplane,N615KC,Embraer,EMB-110P1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Aeromech Incorporated,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,12-01-1983,2.0,0.0,1.0
20020917X01907,Accident,DCA82AA011,1982-01-13,"WASHINGTON, DC",United States,,,,WASHINGTON NATIONAL,Fatal(78),Destroyed,,N62AF,Boeing,737-222,No,2.0,Turbo Fan,,SCHD,Unknown,"Air Florida, Inc",78.0,6.0,3.0,0.0,IMC,Takeoff,Probable Cause,13-01-1983,87.0,0.896551724137931,0.0
20020917X02585,Accident,SEA82DA028A,1982-02-06,"MEDFORD, OR",United States,,,MFR,MEDFORD-JACKSON COUNTY,Non-Fatal,Minor,Airplane,N56270,Boeing,A75N1,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,06-02-1983,3.0,0.0,1.0
20020917X02336,Incident,LAX82IA075,1982-02-15,"ONTARIO, CA",United States,,,ONT,ONTARIO INTERNATIONAL,Incident,Minor,Airplane,N73717,Boeing,B737-2H4,No,2.0,Turbo Jet,Part 121: Air Carrier,SCHD,Unknown,Aircal,0.0,0.0,0.0,119.0,IMC,Approach,Probable Cause,15-02-1983,119.0,0.0,1.0
20020917X02404,Accident,MIA82FA051,1982-02-17,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,Non-Fatal,Substantial,,N4734,Boeing,727-235,No,3.0,Turbo Fan,,SCHD,Unknown,"Pan American World Airways, In",0.0,1.0,1.0,51.0,VMC,Takeoff,Probable Cause,17-02-1983,53.0,0.0,0.9622641509433962
20020917X02630,Incident,SEA82IA029,1982-02-18,"BOISE, ID",United States,,,BOI,BOISE AIR TERMINAL,Incident,Minor,Airplane,N101RA,Embraer,EMB-11OP1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Cascade Airways, Inc.",0.0,0.0,0.0,16.0,VMC,Takeoff,Probable Cause,18-02-1983,16.0,0.0,1.0
20020917X02477,Incident,MKC82IA042,1982-03-08,"LAS VEGAS, NV",United States,,,LAS,MCCARRAN INTERNATL,Incident,,Airplane,N6728,Boeing,707-131B,No,4.0,Turbo Fan,Part 121: Air Carrier,UNK,Unknown,Trans World Airlines Inc,1.0,0.0,0.0,0.0,VMC,Standing,Probable Cause,08-03-1983,1.0,1.0,0.0
20020917X02154,Accident,LAX82AA106A,1982-03-13,"GLENDALE, AZ",United States,,,LUF,,Fatal(6),Destroyed,Airplane,KC135,Boeing,KC-135A,No,4.0,Turbo Jet,Unknown,UNK,Unknown,,6.0,0.0,0.0,0.0,UNK,Approach,Probable Cause,13-03-1983,6.0,1.0,0.0
20020917X02279,Accident,LAX82FA119,1982-03-24,"MARANA, AZ",United States,,,MJC,MARANA AIRPARK,Non-Fatal,Substantial,Airplane,N752TA,Boeing,707-123B,No,4.0,Turbo Jet,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,7.0,VMC,Landing,Probable Cause,24-03-1983,7.0,0.0,1.0
20020917X01904,Incident,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",United States,,,YNG,YOUNGSTOWN MUNICIPAL,Incident,Minor,Airplane,N7627U,Boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,0.0,0.0,108.0,IMC,Landing,Probable Cause,09-04-1983,108.0,0.0,1.0
20020917X02079,Accident,FTW82DA139,1982-04-18,"AUSTIN, TX",United States,,,AUS,AUSTIN MUNI,Non-Fatal,Substantial,Airplane,N32717,Boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Continental Airlines, Inc.",0.0,0.0,0.0,68.0,VMC,Landing,Probable Cause,18-04-1983,68.0,0.0,1.0
20020917X02138,Accident,FTW82FRA19,1982-04-27,"CHAPELL HILL, TX",United States,,,,,Fatal(1),Destroyed,Airplane,N1774B,Boeing,A75,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,27-04-1983,1.0,1.0,0.0
20020917X03255,Accident,FTW82DA174,1982-05-01,"ERICK, OK",United States,,,,,Non-Fatal,Destroyed,Airplane,N5186N,Boeing,E75,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,01-05-1983,1.0,0.0,1.0
20020917X02721,Accident,ATL82DA123B,1982-05-01,"MARIETTA, GA",United States,,,8A4,MCCOLLUM,Non-Fatal,Minor,Airplane,N74189,Boeing,A75N1,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,01-05-1983,3.0,0.0,1.0
20020917X03245,Accident,FTW82DA161,1982-05-02,"STERLING CITY, TX",United States,,,,,Non-Fatal,Substantial,Airplane,N5374N,Boeing,E75,No,1.0,Reciprocating,Part 91: General Aviation,,Ferry,,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,02-05-1983,2.0,0.0,0.5
